SampleName,d18O_CO2,d17O_CO2,Dp17O_CO2,d18O_error,d17O_error,Dp17O_error,Replicates,Formation,Mineralogy,Reef platform,Phase sampled,Environment,d18O_AC,d17O_AC,Dp17O_AC
A23,25.839022792713184,13.427507277359053,-131.5643524159804,0.04219833805470946,0.024567369258443824,3.9611733178963093,4,Balcanoona,calcite,Oodnaminta,Chambered reef framework (dolomite after aragonite),Lower margin,15.43085651345018,8.03681800662605,-80.5753421970632
AB,34.35088775387074,17.86270649258629,-127.66463491083613,0.06267350844276746,0.0319779951668571,5.408759083485839,4,Balcanoona,dolomite,Oodnaminta,Dolomitised aragonite,Reef margin,22.267683732156684,11.626500954442577,-68.91154456245552
AQ24,40.344796467275074,20.963083955431223,-137.17559142032343,0.07633792102366464,0.03450449329668173,5.847858317934592,5,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Shallow platform,28.19157208522779,14.707883133364817,-78.42282454777028
ASA,34.74064270822251,18.068510627908996,-124.4102766326705,0.14312327982994447,0.08053778055018236,8.085112745689402,5,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Shallow platform,22.652885600425634,11.831044176205523,-65.65836705638617
CC,27.914139063259082,14.502637287988266,-138.22363000919947,0.18850775630815989,0.09929723251789088,6.178483692817545,4,Balcanoona,calcite,Oodnaminta,Chambered reef framework (dolomite after aragonite),Lower margin,17.484918647125824,9.106229116030136,-87.23757179820879
KC-1,32.55153067538042,16.935909939791866,-119.30269205288063,0.05552048461214328,0.02980966446912391,8.829336939358425,7,Balcanoona,dolomite,Arkaroola,Microbialite (dolomite after aragonite),Reef margin,20.489346598585257,10.705382666268974,-60.54953088369608
KC-2,34.32510610816467,17.844805182058977,-132.091354699174,0.0461544008883408,0.025744265972080915,6.857700694702059,4,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Reef margin,22.24220326556565,11.608709321036827,-73.3380618923487
ML4,26.747032456045503,13.894221949123793,-138.28561019422068,0.0772350164317141,0.04387757028485485,8.045324032815309,4,Balcanoona,calcite,Mt. Lyndhurst,Stromatolite (calcite+dolomite after aragonite),Reef margin,16.329653507592525,8.501050099463896,-87.29690339203877
MtFitton,36.382386274357955,18.911409233523234,-133.88556191579397,0.16944143903801062,0.08259199048968568,7.239975052999113,5,Balcanoona,dolomite,Mount Fitton,Marine cement,Unknown,24.275450450038534,12.668778540199696,-75.13513210270872
Q,35.845376335361905,18.630486360797452,-135.976866552312,0.03785868191647315,0.0161709212516404,4.131658373916566,4,Balcanoona,dolomite,Arkaroola,Dolomite marine cement,Shallow platform,23.74471381803278,12.389576815879877,-77.22358936909046
Z_MC,39.625305673877264,20.587619959325686,-139.71335147596963,0.04070811998178499,0.025190247423829817,5.766444177884592,4,Angepena,dolomite,Arkaroola,Dolomite marine cement,Peritidal,27.480486325509673,14.33471951690467,-80.95997944061217
Z_SD,38.065592607181934,19.790589876746886,-128.2339719846659,0.14855241233957445,0.07233599233453658,5.5317688081159675,4,Angepena,dolomite,Arkaroola,Saddle dolomite,Peritidal,25.93899370162876,13.542572650287525,-69.48269296642096
